!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:23:12 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +1.95376910510e+007, -8.68503384893e+001
+2.16230000000e+001, +1.78017133445e+007, -8.67723207569e+001
+2.33780000000e+001, +1.65813529643e+007, -8.65678097576e+001
+2.52760000000e+001, +1.54987605717e+007, -8.68292278161e+001
+2.73270000000e+001, +1.45883241542e+007, -8.54550621707e+001
+2.95450000000e+001, +1.32379766331e+007, -8.67872832635e+001
+3.19430000000e+001, +1.21285447118e+007, -8.53646867829e+001
+3.45350000000e+001, +1.13727277590e+007, -8.66883600550e+001
+3.73380000000e+001, +1.05408212730e+007, -8.69052480707e+001
+4.03690000000e+001, +9.68719496955e+006, -8.66925906144e+001
+4.36450000000e+001, +9.07668281449e+006, -8.61747257441e+001
+4.71880000000e+001, +8.31145236371e+006, -8.69282660543e+001
+5.10170000000e+001, +7.81459275620e+006, -8.72185558590e+001
+5.51580000000e+001, +7.16402223662e+006, -8.70931367550e+001
+5.96350000000e+001, +6.65084375464e+006, -8.69029836346e+001
+6.44750000000e+001, +6.18004686565e+006, -8.71949250974e+001
+6.97080000000e+001, +5.71162146394e+006, -8.69781844363e+001
+7.53660000000e+001, +5.27691376006e+006, -8.71119830187e+001
+8.14820000000e+001, +4.88836916610e+006, -8.71440356336e+001
+8.80960000000e+001, +4.52972078095e+006, -8.72931666465e+001
+9.52460000000e+001, +4.22049240736e+006, -8.73977600514e+001
+1.02976000000e+002, +3.90765423326e+006, -8.73929655372e+001
+1.11334000000e+002, +3.62683112829e+006, -8.73758366505e+001
+1.20370000000e+002, +3.35579637585e+006, -8.74669774926e+001
+1.30139000000e+002, +3.10952686687e+006, -8.72587052522e+001
+1.40702000000e+002, +2.88288935056e+006, -8.72445149697e+001
+1.52121000000e+002, +2.67356121324e+006, -8.73436840421e+001
+1.64468000000e+002, +2.47101670322e+006, -8.72551656451e+001
+1.77816000000e+002, +2.29124848706e+006, -8.72083088504e+001
+1.92248000000e+002, +2.12840031225e+006, -8.71826882831e+001
+2.07851000000e+002, +1.97098199643e+006, -8.72503423587e+001
+2.24721000000e+002, +1.82947657953e+006, -8.72158389759e+001
+2.42960000000e+002, +1.69262341595e+006, -8.72367106837e+001
+2.62679000000e+002, +1.56952446122e+006, -8.72058739777e+001
+2.83998000000e+002, +1.45579180159e+006, -8.72660889205e+001
+3.07048000000e+002, +1.35008473614e+006, -8.72457558873e+001
+3.31969000000e+002, +1.25102452563e+006, -8.72146224733e+001
+3.58912000000e+002, +1.16037728715e+006, -8.72538574079e+001
+3.88042000000e+002, +1.07418262704e+006, -8.71992011629e+001
+4.19536000000e+002, +9.96228941634e+005, -8.71402380572e+001
+4.53587000000e+002, +9.23352743473e+005, -8.72271546443e+001
+4.90401000000e+002, +8.57200584579e+005, -8.72265743487e+001
+5.30202000000e+002, +7.94236684770e+005, -8.71813186949e+001
+5.73235000000e+002, +7.36333767470e+005, -8.71672437945e+001
+6.19760000000e+002, +6.82700549349e+005, -8.71670764031e+001
+6.70061000000e+002, +6.32658764373e+005, -8.71593808882e+001
+7.24444000000e+002, +5.86407218278e+005, -8.71482924488e+001
+7.83241000000e+002, +5.43706739996e+005, -8.71737188179e+001
+8.46811000000e+002, +5.04411861029e+005, -8.71576713004e+001
+9.15539000000e+002, +4.67764718653e+005, -8.71368892397e+001
+9.89846000000e+002, +4.33664144724e+005, -8.71002273123e+001
+1.07018400000e+003, +4.02176387480e+005, -8.71036560283e+001
+1.15704300000e+003, +3.72874927898e+005, -8.70832371805e+001
+1.25095000000e+003, +3.45809643122e+005, -8.70745629237e+001
+1.35248000000e+003, +3.20732177292e+005, -8.70567933186e+001
+1.46225000000e+003, +2.97356446184e+005, -8.70390380082e+001
+1.58092900000e+003, +2.75789941025e+005, -8.70108199228e+001
+1.70924000000e+003, +2.55711502495e+005, -8.69819776958e+001
+1.84796500000e+003, +2.37193282557e+005, -8.69753980613e+001
+1.99795000000e+003, +2.19955123678e+005, -8.69595383827e+001
+2.16010800000e+003, +2.04000854979e+005, -8.69608621527e+001
+2.33542600000e+003, +1.89199411685e+005, -8.69302188324e+001
+2.52497400000e+003, +1.75451367900e+005, -8.69276531786e+001
+2.72990600000e+003, +1.62722373615e+005, -8.69117748120e+001
+2.95147000000e+003, +1.50907106150e+005, -8.68935606212e+001
+3.19101700000e+003, +1.39986169769e+005, -8.68858372550e+001
+3.45000600000e+003, +1.29819859885e+005, -8.68750906494e+001
+3.73001600000e+003, +1.20413882390e+005, -8.68635680978e+001
+4.03275100000e+003, +1.11682821812e+005, -8.68569369387e+001
+4.36005700000e+003, +1.03595891697e+005, -8.68444614852e+001
+4.71392800000e+003, +9.60961526125e+004, -8.68453322258e+001
+5.09651900000e+003, +8.91324241079e+004, -8.68238213969e+001
+5.51016300000e+003, +8.26780198444e+004, -8.68174508778e+001
+5.95737900000e+003, +7.67063119595e+004, -8.68087221091e+001
+6.44089100000e+003, +7.11544849565e+004, -8.68042212407e+001
+6.96364600000e+003, +6.59994816838e+004, -8.68035500061e+001
+7.52883000000e+003, +6.12271469376e+004, -8.67942649487e+001
+8.13988400000e+003, +5.67994978367e+004, -8.68052014651e+001
+8.80053300000e+003, +5.26913599480e+004, -8.67961039537e+001
+9.51480200000e+003, +4.88778386887e+004, -8.67989673266e+001
+1.02870420000e+004, +4.53462373829e+004, -8.68137621131e+001
+1.11219580000e+004, +4.20656616247e+004, -8.68167376308e+001
+1.20246380000e+004, +3.90193433239e+004, -8.68268152719e+001
+1.30005810000e+004, +3.62013853500e+004, -8.68339934040e+001
+1.40557340000e+004, +3.35828955468e+004, -8.68482043920e+001
+1.51965250000e+004, +3.11547665768e+004, -8.68665164057e+001
+1.64299040000e+004, +2.89009879847e+004, -8.68828745371e+001
+1.77633870000e+004, +2.68066519199e+004, -8.69035668249e+001
+1.92050990000e+004, +2.48660726284e+004, -8.69242219485e+001
+2.07638220000e+004, +2.30647711360e+004, -8.69481544287e+001
+2.24490550000e+004, +2.13933412631e+004, -8.69761088600e+001
+2.42710640000e+004, +1.98433247079e+004, -8.70004568882e+001
+2.62409510000e+004, +1.84039620280e+004, -8.70313872157e+001
+2.83707180000e+004, +1.70687814329e+004, -8.70602010240e+001
+3.06733410000e+004, +1.58294743128e+004, -8.70931741127e+001
+3.31628490000e+004, +1.46793243128e+004, -8.71272038784e+001
+3.58544110000e+004, +1.36128083016e+004, -8.71613569895e+001
+3.87644260000e+004, +1.26225768418e+004, -8.71980811977e+001
+4.19106220000e+004, +1.17044749717e+004, -8.72311658422e+001
+4.53121700000e+004, +1.08517780228e+004, -8.72669911638e+001
+4.89897950000e+004, +1.00610918441e+004, -8.73065309570e+001
+5.29659030000e+004, +9.32754778275e+003, -8.73424693239e+001
+5.72647190000e+004, +8.64727165299e+003, -8.73789473531e+001
+6.19124360000e+004, +8.01612990922e+003, -8.74159856606e+001
+6.69373700000e+004, +7.43038612194e+003, -8.74509338034e+001
+7.23701380000e+004, +6.88712956792e+003, -8.74886608851e+001
+7.82438400000e+004, +6.38355364870e+003, -8.75220643781e+001
+8.45942640000e+004, +5.91659622983e+003, -8.75579400966e+001
+9.14601000000e+004, +5.48341972180e+003, -8.75898709060e+001
+9.88831810000e+004, +5.08050962820e+003, -8.76206547756e+001
+1.06908733000e+005, +4.70939116257e+003, -8.76582144561e+001
+1.15585655000e+005, +4.36427026685e+003, -8.76854289084e+001
+1.24966813000e+005, +4.04404772200e+003, -8.77183752414e+001
+1.35109365000e+005, +3.74720025746e+003, -8.77420243460e+001
+1.46075105000e+005, +3.47248734555e+003, -8.77724219168e+001
+1.57930847000e+005, +3.21755189905e+003, -8.77978488336e+001
+1.70748824000e+005, +2.98124268968e+003, -8.78221534134e+001
+1.84607133000e+005, +2.76221321869e+003, -8.78424314290e+001
+1.99590209000e+005, +2.55937692172e+003, -8.78650917183e+001
+2.15789341000e+005, +2.37104342126e+003, -8.78864333262e+001
+2.33303227000e+005, +2.19687998815e+003, -8.79051079699e+001
+2.52238574000e+005, +2.03525136985e+003, -8.79216257741e+001
+2.72710750000e+005, +1.88564345807e+003, -8.79375305521e+001
+2.94844489000e+005, +1.74701111271e+003, -8.79511318400e+001
+3.18774645000e+005, +1.61864768834e+003, -8.79643137364e+001
+3.44647020000e+005, +1.49958828215e+003, -8.79791263145e+001
+3.72619247000e+005, +1.38925432292e+003, -8.79902454496e+001
+4.02861754000e+005, +1.28711466799e+003, -8.80000997884e+001
+4.35558803000e+005, +1.19246646359e+003, -8.80103017897e+001
+4.70909609000e+005, +1.10475578551e+003, -8.80163737301e+001
+5.09129555000e+005, +1.02353078819e+003, -8.80250269549e+001
+5.50451507000e+005, +9.48295120219e+002, -8.80340828457e+001
+5.95127229000e+005, +8.78578481737e+002, -8.80386958276e+001
+6.43428920000e+005, +8.14000475281e+002, -8.80466032390e+001
+6.95650871000e+005, +7.54186829386e+002, -8.80541121547e+001
+7.52111258000e+005, +6.98746560463e+002, -8.80594494059e+001
+8.13154081000e+005, +6.47406688237e+002, -8.80686889968e+001
+8.79151259000e+005, +5.99847577318e+002, -8.80773483644e+001
+9.50504896000e+005, +5.55788820456e+002, -8.80880572001e+001
+1.02764973500e+006, +5.14981022178e+002, -8.80950991909e+001
+1.11105580000e+006, +4.77131309579e+002, -8.81078680611e+001
+1.20123126500e+006, +4.42105811255e+002, -8.81182234420e+001
+1.29872554700e+006, +4.09614565551e+002, -8.81320005661e+001
+1.40413265500e+006, +3.79550769224e+002, -8.81517022263e+001
+1.51809481100e+006, +3.51668951557e+002, -8.81620529807e+001
+1.64130635900e+006, +3.25816467335e+002, -8.81855023305e+001
+1.77451799800e+006, +3.01858893323e+002, -8.82060332931e+001
+1.91854135300e+006, +2.79691611623e+002, -8.82237379263e+001
+2.07425392700e+006, +2.59110370960e+002, -8.82567086231e+001
+2.24260443800e+006, +2.40048314500e+002, -8.82818218057e+001
+2.42461860600e+006, +2.22363999407e+002, -8.83119557029e+001
+2.62140540000e+006, +2.06040456589e+002, -8.83368878632e+001
+2.83416379600e+006, +1.90830462313e+002, -8.83679389846e+001
+3.06419008000e+006, +1.76760526621e+002, -8.83994679394e+001
+3.31288574700e+006, +1.63717640511e+002, -8.84330736125e+001
+3.58176604200e+006, +1.51639759052e+002, -8.84651780085e+001
+3.87246918900e+006, +1.40424741229e+002, -8.84967332238e+001
+4.18676637100e+006, +1.30046615383e+002, -8.85352246961e+001
+4.52657252900e+006, +1.20429928473e+002, -8.85613719719e+001
+4.89395802000e+006, +1.11518304910e+002, -8.85996374489e+001
+5.29116123700e+006, +1.03263660173e+002, -8.86280681502e+001
+5.72060224500e+006, +9.56015682406e+001, -8.86573297538e+001
+6.18489752600e+006, +8.85111069979e+001, -8.86883186293e+001
+6.68687592200e+006, +8.19447237395e+001, -8.87157490750e+001
+7.22959586700e+006, +7.58542228618e+001, -8.87421665524e+001
+7.81636402500e+006, +7.02140238082e+001, -8.87671848654e+001
+8.45075543700e+006, +6.49920313325e+001, -8.87938126873e+001
+9.13663529700e+006, +6.01541468676e+001, -8.88129821863e+001
+9.87818251100e+006, +5.56728971640e+001, -8.88344818548e+001
+1.06799151480e+007, +5.15178429082e+001, -8.88447092554e+001
+1.15467179760e+007, +4.76716901202e+001, -8.88612017927e+001
+1.24838722200e+007, +4.41070721673e+001, -8.88718663658e+001
+1.34970877370e+007, +4.08067549013e+001, -8.88870068570e+001
+1.45925378090e+007, +3.77471351081e+001, -8.88930980043e+001
+1.57768967550e+007, +3.48977329875e+001, -8.88412452834e+001
+1.70573805920e+007, +3.22820457177e+001, -8.88375368852e+001
+1.84417910050e+007, +2.98537938153e+001, -8.88315866633e+001
+1.99385628790e+007, +2.76069774832e+001, -8.88218094834e+001
+2.15568156880e+007, +2.55255464434e+001, -8.88094715387e+001
+2.33064090650e+007, +2.35971467956e+001, -8.87918179526e+001
+2.51980028670e+007, +2.18083991967e+001, -8.87713061470e+001
+2.72431221260e+007, +2.01531762938e+001, -8.87462849265e+001
+2.94542272690e+007, +1.86185063284e+001, -8.87184607384e+001
+3.18447900350e+007, +1.71962029457e+001, -8.86942983842e+001
+3.44293755580e+007, +1.58779269867e+001, -8.86611929428e+001
+3.72237311020e+007, +1.46546715183e+001, -8.86192641503e+001
+4.02448820150e+007, +1.35171816508e+001, -8.85806210579e+001
+4.35112354530e+007, +1.24630687277e+001, -8.85383585448e+001
+4.70426925320e+007, +1.14821973030e+001, -8.84823352248e+001
+5.08607695830e+007, +1.05708117120e+001, -8.84284000604e+001
+5.49887292450e+007, +9.72321884787e+000, -8.83653770947e+001
+5.94517221980e+007, +8.93279392025e+000, -8.83024132778e+001
+6.42769403980e+007, +8.19687655875e+000, -8.82255093758e+001
+6.94937827570e+007, +7.51007668020e+000, -8.81229071087e+001
+7.51340342580e+007, +6.86658076640e+000, -8.80100104791e+001
+8.12320596160e+007, +6.26465805571e+000, -8.78355106027e+001
+8.78250126540e+007, +5.70308095279e+000, -8.76863450285e+001
+9.49530626730e+007, +5.17938029762e+000, -8.74534979311e+001
+1.02659639190e+008, +4.68785367061e+000, -8.71884342176e+001
+1.10991696549e+008, +4.22473949413e+000, -8.69123706673e+001
+1.20000000000e+008, +3.79080226368e+000, -8.65540268902e+001
END
